"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Cape Verde",8.7,8.4,7.6,8.3,8.1,7.2,8.2,8.2,8.8,8.7,8.9,42,48.2,51.9,59.8,78.6,75.6,95.1,103,114,111,116
"Central African Republic",295,297,259,269,269,281,247,249,240,215,241,4.13,3.82,4.39,4.72,4.9,4.42,4.84,5.72,6.16,6.25,6.44
"Chad",53,52,51,54,53,47,49,51,47,42,38,4.49,4.81,5.59,8.09,8.45,10.5,7.83,6.6,6.04,5.61,7.65
"Chile",4.2,4.6,4.4,4.3,4.6,4.1,4,3.6,2.9,3.1,3.4,169,159,157,134,167,201,249,295,337,382,456
"China",9.6,8.8,8.1,7.3,5.8,5.9,5.5,4.9,4.4,4.3,4.1,16.6,16.8,19.4,22.1,26.6,31.2,38,53.7,78.2,100,118
"Colombia",4,4.2,4,3.8,3.6,3.2,3.1,3.4,3.5,3.2,2.8,131,125,123,123,145,178,193,239,266,278,343
"Comoros",7.9,6.5,8.3,11,9.6,8.5,8.2,7.3,6.5,6.8,7.3,5.47,4.17,6.95,9.46,11.8,13.4,15.4,19.1,23.2,12.6,22.3
"Congo, Dem. Rep.",113,106,102,94,84,84,88,78,76,83,83,0.543,0.31,0.27,1.16,1.42,2.19,2.78,3.7,6.46,7.48,6.7
"Congo, Rep.",54,61,73,116,96,101,123,116,116,102,97,12.5,11.6,11.8,13.5,18.4,24.6,31.7,34.7,38.7,31.8,33.8
"Cook Is",0.53,1,0.52,0,0.5,0.5,0.49,0.56,1,1,0,158,230,208,296,328,414,359,427,420,408,506
"Costa Rica",2.2,2.1,2.1,2.1,1.9,2,1.8,1.2,1.6,1.1,1.4,204,220,236,243,246,253,283,353,413,449,553
"Cote d'Ivoire",180,160,147,129,109,100,88,74,58,56,49,8.35,5.98,6.93,7.68,9.35,7.74,8.51,13.6,17.1,12.7,12.9
"Croatia",3.9,3.4,4.3,3.8,3.8,2.7,3.3,2.4,2.4,2.8,1.9,325,313,300,409,498,606,680,877,1040,944,905
"Cuba",0.51,0.37,0.36,0.47,0.39,0.38,0.46,0.4,0.57,0.34,0.42,151,161,172,181,186,282,332,557,557,623,555
"Cyprus",0.07,0.18,0.24,0.36,0.45,0.54,0.29,0.12,0.27,0.16,0.17,310,329,399,557,588,589,622,713,796,745,708
"Czech Republic",1.2,0.95,0.85,0.83,0.7,0.69,0.61,0.7,0.53,0.51,0.39,326,363,473,598,687,769,839,972,1220,1260,1240
"Denmark",0.94,0.9,0.81,0.61,0.77,0.58,0.46,0.55,0.32,0.52,0.69,2190,2300,2550,3170,3690,3920,4240,4800,5390,5490,5470
"Djibouti",110,110,80,79,70,73,70,62,71,71,89,29.6,26.9,27.4,33.6,29.3,43.2,43.9,53.9,56.1,65.5,59.8
"Dominica",3.2,1.5,2.3,3,1.5,1.4,1.4,5.8,5.6,4.1,3.6,160,160,160,161,161,162,179,193,204,223,292
